status,medicine_id,name,kind,existing_category_id,category_id,confidence,efficacy,pharmacology,atc,aliases,aliases_added,alias_conflicts,detail_url,reason
already_present,10427,麻黄碱苯海拉明片,western,8,8,0.96,用于支气管哮喘、咳嗽、荨麻疹、枯草热，过敏性鼻炎等。,呼吸系统用药 | 平喘药,系统用抗组胺药 | 氨基烷基醚类,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E9%BA%BB%E9%BB%84%E7%A2%B1%E8%8B%AF%E6%B5%B7%E6%8B%89%E6%98%8E%E7%89%87,站点药理分类明确为抗过敏药
already_present,10428,葡萄糖酸钙口服溶液,western,7,7,0.96,用于预防和治疗钙缺乏症，如骨质疏松，手足抽搐症，骨发育不全，佝偻病以及儿童、妊娠和哺乳期妇女、绝经期妇女、老年人钙的补充。,激素及影响内分泌药 | 钙代谢调节药及抗骨质疏松药,矿物质补充剂 | 钙,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E8%91%A1%E8%90%84%E7%B3%96%E9%85%B8%E9%92%99%E5%8F%A3%E6%9C%8D%E6%BA%B6%E6%B6%B2,站点药理或 ATC 分类明确为维生素/矿物质
already_present,10429,葡萄糖酸钙颗粒,western,7,7,0.96,补钙药。用于预防和治疗钙缺乏症。,激素及影响内分泌药 | 钙代谢调节药及抗骨质疏松药,矿物质补充剂 | 钙,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E8%91%A1%E8%90%84%E7%B3%96%E9%85%B8%E9%92%99%E9%A2%97%E7%B2%92,站点药理或 ATC 分类明确为维生素/矿物质
already_present,10430,葡萄糖酸钙片,western,7,7,0.96,用于预防和治疗钙缺乏症，如骨质疏松、手足抽搐症、骨发育不全、佝偻病以及儿童、妊娠和哺乳期妇女、绝经期妇女、老年人钙的补充。,激素及影响内分泌药 | 钙代谢调节药及抗骨质疏松药,矿物质补充剂 | 钙,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E8%91%A1%E8%90%84%E7%B3%96%E9%85%B8%E9%92%99%E7%89%87,站点药理或 ATC 分类明确为维生素/矿物质
already_present,10431,葡萄糖酸钙含片,western,7,7,0.96,用于预防和治疗钙缺乏症，如骨质疏松、手足抽搐症、骨发育不全、佝偻病以及儿童、妊娠和哺乳期妇女、绝经期妇女、老年人钙的补充。,激素及影响内分泌药 | 钙代谢调节药及抗骨质疏松药,矿物质补充剂 | 钙,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E8%91%A1%E8%90%84%E7%B3%96%E9%85%B8%E9%92%99%E5%90%AB%E7%89%87,站点药理或 ATC 分类明确为维生素/矿物质
already_present,10432,甲磺司特颗粒,western,17,17,0.96,本品适用于支气管哮喘的治疗。,呼吸系统用药 | 平喘药,阻塞性气管疾病用药 | 其它阻塞性气管病系统用药,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E7%94%B2%E7%A3%BA%E5%8F%B8%E7%89%B9%E9%A2%97%E7%B2%92,人工分类边界：西药支气管扩张剂归其它
already_present,10433,复方曲尼司特片,western,17,17,0.96,轻、中度支气管哮喘，慢性喘息型支气管炎。,呼吸系统用药 | 平喘药,阻塞性气管疾病用药 | 系统用肾上腺素能药 | 选择性β2-肾上腺素受体促效药,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E5%A4%8D%E6%96%B9%E6%9B%B2%E5%B0%BC%E5%8F%B8%E7%89%B9%E7%89%87,人工分类边界：西药支气管扩张剂归其它
already_present,10434,复方曲尼司特胶囊,western,17,17,0.96,轻、中度支气管哮喘，慢性喘息型支气管炎。,呼吸系统用药 | 平喘药,阻塞性气管疾病用药 | 系统用肾上腺素能药 | 选择性β2-肾上腺素受体促效药,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E5%A4%8D%E6%96%B9%E6%9B%B2%E5%B0%BC%E5%8F%B8%E7%89%B9%E8%83%B6%E5%9B%8A,人工分类边界：西药支气管扩张剂归其它
already_present,7820,盐酸安他唑啉片,western,8,8,0.96,临床主用于房性、室性早搏，室性心动过速，房颤等心律失常及过敏性疾病。,心血管系统用药 | 抗心律失常药,系统用抗组胺药 | 系统用其它抗组胺药,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E7%9B%90%E9%85%B8%E5%AE%89%E4%BB%96%E5%94%91%E5%95%89%E7%89%87,站点药理分类明确为抗过敏药
already_present,10435,塞曲司特颗粒,western,17,17,0.96,本品适用于轻中度支气管哮喘的治疗。,呼吸系统用药 | 平喘药,阻塞性气管疾病用药 | 其它阻塞性气管病系统用药,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E5%A1%9E%E6%9B%B2%E5%8F%B8%E7%89%B9%E9%A2%97%E7%B2%92,人工分类边界：西药支气管扩张剂归其它
